"Station ID" "Var" "Lon" "Lat" "fyr" "lyr"
"11" "USC00508503" "temp2" -135.333297729492 57.0499992370605 1828 1990
"69" "USC00226177" "temp2" -91.3407974243164 31.5888996124268 1799 2005
"125" "USW00013880" "temp2" -80.0402984619141 32.8986015319824 1823 2005
"184" "USW00014735" "temp2" -73.809196472168 42.7430992126465 1795 2005
"245" "IN020040900" "temp2" 80.1829986572266 13 1796 2005
"246" "IN024140300" "temp2" 88.3330001831055 22.5330009460449 1816 2005
"263" "RSM00022550" "temp2" 40.7331008911133 64.5 1813 2005
"265" "RSM00024959" "temp2" 129.716705322266 62.0167007446289 1829 2005
"273" "RSM00030710" "temp2" 104.349998474121 52.2667007446289 1820 2005
"281" "RSXLT181644" "temp2" 37.5666999816895 55.75 1779 2005
"289" "SNXLT983389" "temp2" 103.900001525879 1.29999995231628 1825 1984
"300" "AU000005010" "temp2" 14.1330995559692 48.0499992370605 1767 2005
"318" "BE000006447" "temp2" 4.34999990463257 50.7999992370605 1794 2005
"349" "FIE00142246" "temp2" 25 60.1330986022949 1829 2005
"365" "FRM00007150" "temp2" 2.45000004768372 48.9667015075684 1757 1995
"408" "GME00121150" "temp2" 13.3106002807617 52.565601348877 1701 2005
"442" "ITE00105250" "temp2" 13.3514003753662 38.1102981567383 1791 2005
"465" "LH000026730" "temp2" 25.1000003814697 54.6330986022949 1777 2005
"479" "NO000098550" "temp2" 31.1000003814697 70.3669967651367 1829 2005
"481" "NOE00111040" "temp2" 10.4533004760742 63.4105987548828 1761 2005
"586" "UKXLT476306" "temp2" -3.34999990463257 55.9500007629395 1764 2005
"589" "UKXLT793735" "temp2" 0 51.5 1763 1969
"590" "UKXLT912439" "temp2" -3.09999990463257 57.5999984741211 1781 1975
"592" "UPM00033345" "temp2" 30.5331001281738 50.4000015258789 1812 2005
"617" "USW00012836" "temp2" -81.752197265625 24.5550003051758 1830 2005
