Dataset,Years CE to sample from ,Member Pool,Sample Size (=months),Model Architecture,Variable,X_train,y_train (label),Training stored in
,,,,,,,,
20CRv3,1851–2015,ensmean,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_32_do01
20CRv3ens,1851–2015,81,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_32_do01
MPI-GE,1850–2005,100,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_32_do01
CESM-LME,850–2005,13,1980,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_32_do01
20CRv3ens,1851–2015,81,20000,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_32_do01
MPI-GE,1850–2005,100,20000,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_32_do01
CESM-LME,850–2005,13,20000,conv1D_n64_32_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_32_do01
20CRv3,1851–2015,ensmean,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_do02
20CRv3ens,1851–2015,81,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_do02
MPI-GE,1850–2005,100,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_do02
CESM-LME,850–2005,13,1980,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_do02
20CRv3ens,1851–2015,81,20000,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_do02
MPI-GE,1850–2005,100,20000,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_do02
CESM-LME,850–2005,13,20000,conv1D_n64_do02,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_do02
20CRv3,1851–2015,ensmean,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64
20CRv3ens,1851–2015,81,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64
MPI-GE,1850–2005,100,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64
CESM-LME,850–2005,13,1980,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64
20CRv3ens,1851–2015,81,20000,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64
MPI-GE,1850–2005,100,20000,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64
CESM-LME,850–2005,13,20000,conv1D_n64,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64
20CRv3,1851–2015,ensmean,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_do01
20CRv3ens,1851–2015,81,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_do01
MPI-GE,1850–2005,100,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_do01
CESM-LME,850–2005,13,1980,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_do01
20CRv3ens,1851–2015,81,20000,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_20000_conv1D_n64_do01
MPI-GE,1850–2005,100,20000,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_20000_conv1D_n64_do01
CESM-LME,850–2005,13,20000,conv1D_n64_do01,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_20000_conv1D_n64_do01
20CRv3,1851–2015,ensmean,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3_1980_conv1D_n64_do03
20CRv3ens,1851–2015,81,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,20CRv3ens_1980_conv1D_n64_do03
MPI-GE,1850–2005,100,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,MPI-GE_1980_conv1D_n64_do03
CESM-LME,850–2005,13,1980,conv1D_n64_do03,Monthly 2m Temp. anomalies,25 extracted locations,full grid,CESM-LME_1980_conv1D_n64_do03
